Country Name,Regional Indicator,Year,Life Ladder,Log GDP Per Capita,Social Support,Healthy Life Expectancy At Birth,Freedom To Make Life Choices,Generosity,Perceptions Of Corruption,Positive Affect,Negative Affect,Confidence In National Government
Guyana,Sub-Saharan Africa,1903,5.992826462,9.08853054,0.848765194,56.24000168,0.694005668,0.084674142,0.835569084,0.760633051,0.29641977,0.464712054
Honduras,Latin America and Caribbean,1903,5.09715414,8.485170364,0.818868577,62.90000153,0.675630987,0.229019642,0.825974703,0.7119174,0.19878,0.336073428
Hungary,Central and Eastern Europe,1903,4.953917027,10.14751434,0.93065387,65.31999969,0.538498104,-0.164230525,0.895177424,0.600212455,0.230282992,0.24971357
India,South Asia,1903,5.02679348,8.200288773,0.568992674,56.22000122,0.728892624,-0.053103704,0.862142861,0.541329563,0.252502203,0.817411602
Indonesia,Southeast Asia,1903,5.101213932,8.887655258,0.703788102,60.54000092,0.603260338,0.309535742,0.959867001,0.695946157,0.241613194,0.524597168
Iran,Middle East and North Africa,1903,5.336371422,9.594892502,0.71759212,64.58000183,0.532619894,0.045288,0.87164396,0.55341208,0.361320287,0.49536556
Israel,Middle East and North Africa,1903,6.841114998,10.40006256,0.868216813,71.16000366,0.68286407,0.217239365,0.867820978,0.642078578,0.319893599,0.21780324
Italy,Western Europe,1903,6.574412346,10.72230911,0.912292421,70.80000305,0.684297025,0.10959781,0.922196567,0.64994818,0.303445637,0.30342415
Japan,East Asia,1903,6.238197803,10.57849312,0.938148081,72.63999939,0.796054125,-0.095640242,0.809233308,0.68339169,0.206579819,0.240005687
Jordan,Middle East and North Africa,1903,5.59805727,9.308220863,0.840606511,66.16000366,0.646079123,-0.114134409,0.663644791,,0.239749968,0.771524668
Kazakhstan,Commonwealth of Independent States,1903,5.718553543,9.878193855,0.860892773,58.59999847,0.806299686,-0.249100327,0.865183055,0.556681812,0.178508401,0.711158633
Kenya,Sub-Saharan Africa,1903,4.575657845,8.200929642,0.841112077,51.93999863,0.749842286,0.042769697,0.798738539,0.69805032,0.161941111,0.658625603
Kosovo,Central and Eastern Europe,1903,5.103906155,,0.847811699,,0.381363839,,0.894462228,0.613723099,0.236699477,0.375601441
Kyrgyzstan,Commonwealth of Independent States,1903,4.697761536,8.257814407,0.833097875,60.34000015,0.683523118,-0.093482301,0.929054797,0.589768171,0.12950258,0.45403108
Laos,Southeast Asia,1903,5.363854885,8.291088104,0.789620697,56.25999832,0.866524875,0.477017224,0.580067098,0.751633048,0.135671452,0.914146185
Latvia,Central and Eastern Europe,1903,4.666971684,10.14513016,0.835508585,63.40000153,0.700174093,-0.171169952,0.923952639,0.594059765,0.246862501,0.280693024
Liberia,Sub-Saharan Africa,1903,3.701401234,7.178884983,0.593731701,51.86000061,0.790374219,0.115159847,0.775734663,0.599677563,0.435410291,0.731583416
Lithuania,Central and Eastern Europe,1903,5.80828476,10.15950012,0.940791965,63.70000076,0.589662313,-0.285336435,0.966326058,0.522942126,0.279184252,0.26929301
Malawi,Sub-Saharan Africa,1903,4.89103651,7.080325127,0.600266993,46.41999817,0.909993827,0.176758975,0.691305459,0.691453099,0.175514221,0.763352692
Malaysia,Southeast Asia,1903,6.238904476,9.866742134,0.871497095,65.16000366,0.843627632,0.086885467,0.79905206,0.719230771,0.162261575,0.750705838
Mauritania,Sub-Saharan Africa,1903,4.149043083,8.528328896,0.681909025,56.5,0.572888374,-0.073921561,0.586450517,0.732085705,0.174228683,0.518081248
Mexico,Latin America and Caribbean,1903,6.525378227,9.831493378,0.878805637,64.68000031,0.670430362,-0.098589547,0.746681035,0.753813922,0.248497769,0.41814661
Moldova,Commonwealth of Independent States,1903,4.774918079,8.967413902,0.804191709,59.86000061,0.696194947,-0.188301861,0.929560363,0.518586636,0.305511504,0.304118574
Mongolia,East Asia,1903,4.609059334,8.827466965,0.881054759,56.54000092,0.781332672,0.061379775,0.917813003,0.483198076,0.203044012,0.375002027
Montenegro,Central and Eastern Europe,1903,5.196315289,9.695925713,0.831840634,65.95999908,0.512067258,-0.137170851,0.814567804,0.536068201,0.339850873,0.497209966
